"Place","GeoLocation","Date","RoomTemperature","WaterTemperature","TimeOfDissolution"
"Zanzibar, Nungwi","-5.72592, 39.2981","2022-09-06 02:45",26,25,"02:09"
"Zanzibar, Nungwi","-5.72592, 39.2981","2022-09-07 08:08",26,25,"02:28"
"Zanzibar, Nungwi","-5.72592, 39.2981","2022-09-08 11:03",25,47,"01:16"
"Zanzibar, Nungwi","-5.72592, 39.2981","2022-09-09 20:32",25,16,"02:53"
"Zanzibar, Nungwi","-5.72592, 39.2981","2022-09-10 21:16",26,35,"01:42"
"United Kingdom, London","51.5, -0.116667","2022-09-26 11:21",24,19,"03:27"
"Hungary, Budapest","47.51, 19.08","2022-10-06 15:37",24,23,"02:14"
"Hungary, Budapest","47.51, 19.08","2022-10-06 16:47",26,38,"01:34"
"Hungary, Budapest","47.51, 19.08","2022-10-06 21:49",24,5,"04:38"
"Hungary, Budapest","47.51, 19.08","2022-10-07 15:10",24,60,"01:10"
"Hungary, Budapest","47.51, 19.08","2022-10-08 17:57",25,63,"01:05"
"Hungary, Budapest","47.51, 19.08","2022-10-08 18:57",25,72,"01:05"
"Hungary, Budapest","47.51, 19.08","2022-10-08 19:26",25,100,"00:53"
"Hungary, Budapest","47.51, 19.08","2022-10-08 19:26",25,100,"00:55"
